rule_id,geography_code,ses_category,primary_ses_definition,sensitivity_ses_definition,primary_edge_count,sensitivity_edge_count,edge_jaccard,density_adjusted_jaccard_z,density_null_expected_jaccard
phi_012,31,lower,education_binary,income_binary,25,23,0.8461538461538461,7.298704775065378,0.3659167197183948
phi_012,33,higher,education_binary,income_binary,14,11,0.6666666666666666,6.7757832852829365,0.16322880396711903
phi_012,33,lower,education_binary,income_binary,16,14,0.5789473684210527,5.116698001562372,0.20332896553508914
phi_012,34,higher,education_binary,income_binary,10,10,0.8181818181818182,8.94989339374468,0.13004909019895572
phi_012,34,lower,education_binary,income_binary,16,20,0.7142857142857143,6.579184296413728,0.25008263972166656
phi_012,35,higher,education_binary,income_binary,14,12,0.5294117647058824,4.788134898045221,0.1722985857368709
phi_012,35,lower,education_binary,income_binary,17,20,0.5416666666666666,3.977887756832321,0.2605148678119797
phi_012,36,higher,education_binary,income_binary,14,13,0.8,8.300106318152697,0.18079419653269008
phi_012,36,lower,education_binary,income_binary,18,19,0.85,8.249099725519914,0.26246769626993516
phi_012,37,higher,education_binary,income_binary,18,9,0.42105263157894735,3.9473499765955657,0.15762567953366446
phi_012,37,lower,education_binary,income_binary,20,26,0.5862068965517241,3.801901274330166,0.3386244135716644
phi_012,38,higher,education_binary,income_binary,14,11,0.6666666666666666,6.7757832852829365,0.16322880396711903
phi_012,38,lower,education_binary,income_binary,26,25,0.8214285714285714,6.604907944347735,0.39805033625156816
phi_012,39,higher,education_binary,income_binary,19,17,0.5652173913043478,4.372411573643185,0.2530475887578609
phi_012,39,lower,education_binary,income_binary,27,23,0.8518518518518519,7.316250382790282,0.38414316953936584
phi_012,40,higher,education_binary,income_binary,21,17,0.7272727272727273,6.581318246330445,0.26765811407456064
phi_012,40,lower,education_binary,income_binary,21,23,0.76,6.385021141310545,0.3260924146960333
phi_012,41,higher,education_binary,income_binary,18,13,0.7222222222222222,7.239126423625182,0.2057021854640716
phi_012,41,lower,education_binary,income_binary,23,25,0.8461538461538461,7.29870477506538,0.3659167197183948
phi_012,42,higher,education_binary,income_binary,20,17,0.7619047619047619,7.093935479822321,0.2605148678119797
phi_012,42,lower,education_binary,income_binary,18,20,0.9,8.912160392486047,0.2705429058393187
phi_012,44,higher,education_binary,income_binary,16,13,0.8125,8.442780552897009,0.1940149449639409
phi_012,44,lower,education_binary,income_binary,19,17,0.7142857142857143,6.460339538969831,0.2530475887578609
phi_012,45,higher,education_binary,income_binary,18,17,0.75,7.0129381104033754,0.24523400182403965
phi_012,45,lower,education_binary,income_binary,25,22,0.88,7.949321465456653,0.3546324624197931
phi_012,46,higher,education_binary,income_binary,19,11,0.42857142857142855,3.5377295930914947,0.18703782401928448
phi_012,46,lower,education_binary,income_binary,16,21,0.7619047619047619,7.259956134258536,0.2566281014632223
phi_012,48,higher,education_binary,income_binary,20,20,0.8181818181818182,7.546715935277917,0.2894753721225243
phi_012,48,lower,education_binary,income_binary,17,19,0.8,7.660898119032652,0.2530475887578609
phi_012,49,higher,education_binary,income_binary,14,11,0.7857142857142857,8.378048285714563,0.16322880396711903
phi_012,49,lower,education_binary,income_binary,16,20,0.8,7.794019168154632,0.25008263972166656
phi_012,50,higher,education_binary,income_binary,16,10,0.625,6.492233340923734,0.162684023382992
