graph_id,year,geography_code,geography,ses_category,n_unweighted,weighted_population_estimate,kish_effective_n,node_count,edge_count,density,component_count,isolate_count,mean_degree,maximum_degree,transitivity,population_graph_id,ses_definition,rule_id
2024_10_education_binary_lower__adjusted_fdr,2024,10,Delaware,lower,1349,328777.7729671034,650.6073209753836,10,14,0.3111111111111111,2,0,2.8,5,0.6363636363636364,2024_10_education_binary_lower,education_binary,adjusted_fdr
2024_10_education_binary_lower__adjusted_stable,2024,10,Delaware,lower,1349,328777.7729671034,650.6073209753836,10,14,0.3111111111111111,2,0,2.8,5,0.6363636363636364,2024_10_education_binary_lower,education_binary,adjusted_stable
2024_10_education_binary_lower__phi_008,2024,10,Delaware,lower,1349,328777.7729671034,650.6073209753836,10,29,0.6444444444444445,1,0,5.8,9,0.7452229299363057,2024_10_education_binary_lower,education_binary,phi_008
2024_10_education_binary_lower__phi_012,2024,10,Delaware,lower,1349,328777.7729671034,650.6073209753836,10,18,0.4,1,0,3.6,8,0.515625,2024_10_education_binary_lower,education_binary,phi_012
2024_10_income_binary_higher__adjusted_fdr,2024,10,Delaware,higher,2111,412485.43905260554,949.6479093983348,10,18,0.4,1,0,3.6,7,0.47619047619047616,2024_10_income_binary_higher,income_binary,adjusted_fdr
2024_10_income_binary_higher__phi_008,2024,10,Delaware,higher,2111,412485.43905260554,949.6479093983348,10,24,0.5333333333333333,1,0,4.8,7,0.6728971962616822,2024_10_income_binary_higher,income_binary,phi_008
2024_10_income_binary_higher__phi_012,2024,10,Delaware,higher,2111,412485.43905260554,949.6479093983348,10,15,0.3333333333333333,1,0,3.0,6,0.4883720930232558,2024_10_income_binary_higher,income_binary,phi_012
2024_10_income_binary_lower__adjusted_fdr,2024,10,Delaware,lower,1274,235818.0308906566,633.9358334755966,10,16,0.35555555555555557,2,0,3.2,6,0.5106382978723404,2024_10_income_binary_lower,income_binary,adjusted_fdr
2024_10_income_binary_lower__phi_008,2024,10,Delaware,lower,1274,235818.0308906566,633.9358334755966,10,28,0.6222222222222222,1,0,5.6,9,0.6620689655172414,2024_10_income_binary_lower,income_binary,phi_008
2024_10_income_binary_lower__phi_012,2024,10,Delaware,lower,1274,235818.0308906566,633.9358334755966,10,21,0.4666666666666667,1,0,4.2,8,0.5232558139534884,2024_10_income_binary_lower,income_binary,phi_012
2024_12_education_binary_higher__adjusted_fdr,2024,12,Florida,higher,8633,11390032.978743833,2188.1128781209063,10,36,0.8,1,0,7.2,9,0.8461538461538461,2024_12_education_binary_higher,education_binary,adjusted_fdr
2024_12_education_binary_higher__adjusted_stable,2024,12,Florida,higher,8633,11390032.978743833,2188.1128781209063,10,36,0.8,1,0,7.2,9,0.8461538461538461,2024_12_education_binary_higher,education_binary,adjusted_stable
2024_12_education_binary_higher__phi_008,2024,12,Florida,higher,8633,11390032.978743833,2188.1128781209063,10,29,0.6444444444444445,1,0,5.8,9,0.7261146496815286,2024_12_education_binary_higher,education_binary,phi_008
2024_12_education_binary_higher__phi_012,2024,12,Florida,higher,8633,11390032.978743833,2188.1128781209063,10,20,0.4444444444444444,2,1,4.0,7,0.6951219512195121,2024_12_education_binary_higher,education_binary,phi_012
2024_12_education_binary_lower__adjusted_fdr,2024,12,Florida,lower,4379,7329115.894313465,1036.7520276736052,10,26,0.5777777777777777,1,0,5.2,7,0.6774193548387096,2024_12_education_binary_lower,education_binary,adjusted_fdr
2024_12_education_binary_lower__adjusted_stable,2024,12,Florida,lower,4379,7329115.894313465,1036.7520276736052,10,26,0.5777777777777777,1,0,5.2,7,0.6774193548387096,2024_12_education_binary_lower,education_binary,adjusted_stable
2024_12_education_binary_lower__phi_008,2024,12,Florida,lower,4379,7329115.894313465,1036.7520276736052,10,33,0.7333333333333333,1,0,6.6,9,0.803030303030303,2024_12_education_binary_lower,education_binary,phi_008
2024_12_education_binary_lower__phi_012,2024,12,Florida,lower,4379,7329115.894313465,1036.7520276736052,10,25,0.5555555555555556,1,0,5.0,8,0.5892857142857143,2024_12_education_binary_lower,education_binary,phi_012
2024_12_income_binary_higher__adjusted_fdr,2024,12,Florida,higher,5684,8519660.137322417,1573.782206896504,10,26,0.5777777777777777,1,0,5.2,8,0.639344262295082,2024_12_income_binary_higher,income_binary,adjusted_fdr
2024_12_income_binary_higher__phi_008,2024,12,Florida,higher,5684,8519660.137322417,1573.782206896504,10,26,0.5777777777777777,1,0,5.2,9,0.6992481203007519,2024_12_income_binary_higher,income_binary,phi_008
2024_12_income_binary_higher__phi_012,2024,12,Florida,higher,5684,8519660.137322417,1573.782206896504,10,16,0.35555555555555557,2,1,3.2,6,0.5892857142857143,2024_12_income_binary_higher,income_binary,phi_012
2024_12_income_binary_lower__adjusted_fdr,2024,12,Florida,lower,4512,6063424.020607368,1003.586718079793,10,29,0.6444444444444445,1,0,5.8,8,0.7350993377483444,2024_12_income_binary_lower,income_binary,adjusted_fdr
2024_12_income_binary_lower__phi_008,2024,12,Florida,lower,4512,6063424.020607368,1003.586718079793,10,36,0.8,1,0,7.2,9,0.8181818181818182,2024_12_income_binary_lower,income_binary,phi_008
