ses_definition,rule_id,source_condition,target_condition,graph_count,support_count,support_fraction
education_binary,phi_012,OTHER_CANCER,KIDNEY_DISEASE,94,28,0.2978723404255319
education_binary,phi_012,OTHER_CANCER,ARTHRITIS,94,90,0.9574468085106383
education_binary,phi_012,OTHER_CANCER,DIABETES,94,12,0.1276595744680851
education_binary,phi_012,COPD,DEPRESSIVE_DISORDER,94,38,0.40425531914893614
education_binary,phi_012,COPD,KIDNEY_DISEASE,94,23,0.24468085106382978
education_binary,phi_012,COPD,ARTHRITIS,94,94,1.0
education_binary,phi_012,COPD,DIABETES,94,29,0.30851063829787234
education_binary,phi_012,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,94,1,0.010638297872340425
education_binary,phi_012,DEPRESSIVE_DISORDER,ARTHRITIS,94,40,0.425531914893617
education_binary,phi_012,DEPRESSIVE_DISORDER,DIABETES,94,0,0.0
education_binary,phi_012,KIDNEY_DISEASE,ARTHRITIS,94,81,0.8617021276595744
education_binary,phi_012,KIDNEY_DISEASE,DIABETES,94,91,0.9680851063829787
education_binary,phi_012,ARTHRITIS,DIABETES,94,94,1.0
income_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,STROKE,96,87,0.90625
income_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,96,52,0.5416666666666666
income_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,96,20,0.20833333333333334
income_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,96,40,0.4166666666666667
income_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,COPD,96,91,0.9479166666666666
income_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,96,73,0.7604166666666666
income_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,96,84,0.875
income_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,ARTHRITIS,96,80,0.8333333333333334
income_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,DIABETES,96,93,0.96875
income_binary,adjusted_fdr,STROKE,CURRENT_ASTHMA,96,40,0.4166666666666667
income_binary,adjusted_fdr,STROKE,SKIN_CANCER,96,12,0.125
income_binary,adjusted_fdr,STROKE,OTHER_CANCER,96,22,0.22916666666666666
income_binary,adjusted_fdr,STROKE,COPD,96,56,0.5833333333333334
income_binary,adjusted_fdr,STROKE,DEPRESSIVE_DISORDER,96,59,0.6145833333333334
income_binary,adjusted_fdr,STROKE,KIDNEY_DISEASE,96,55,0.5729166666666666
income_binary,adjusted_fdr,STROKE,ARTHRITIS,96,49,0.5104166666666666
income_binary,adjusted_fdr,STROKE,DIABETES,96,62,0.6458333333333334
income_binary,adjusted_fdr,CURRENT_ASTHMA,SKIN_CANCER,96,7,0.07291666666666667
income_binary,adjusted_fdr,CURRENT_ASTHMA,OTHER_CANCER,96,19,0.19791666666666666
income_binary,adjusted_fdr,CURRENT_ASTHMA,COPD,96,96,1.0
income_binary,adjusted_fdr,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,96,87,0.90625
income_binary,adjusted_fdr,CURRENT_ASTHMA,KIDNEY_DISEASE,96,31,0.3229166666666667
income_binary,adjusted_fdr,CURRENT_ASTHMA,ARTHRITIS,96,92,0.9583333333333334
income_binary,adjusted_fdr,CURRENT_ASTHMA,DIABETES,96,55,0.5729166666666666
income_binary,adjusted_fdr,SKIN_CANCER,OTHER_CANCER,96,95,0.9895833333333334
income_binary,adjusted_fdr,SKIN_CANCER,COPD,96,11,0.11458333333333333
income_binary,adjusted_fdr,SKIN_CANCER,DEPRESSIVE_DISORDER,96,24,0.25
income_binary,adjusted_fdr,SKIN_CANCER,KIDNEY_DISEASE,96,19,0.19791666666666666
income_binary,adjusted_fdr,SKIN_CANCER,ARTHRITIS,96,37,0.3854166666666667
income_binary,adjusted_fdr,SKIN_CANCER,DIABETES,96,1,0.010416666666666666
income_binary,adjusted_fdr,OTHER_CANCER,COPD,96,51,0.53125
income_binary,adjusted_fdr,OTHER_CANCER,DEPRESSIVE_DISORDER,96,40,0.4166666666666667
income_binary,adjusted_fdr,OTHER_CANCER,KIDNEY_DISEASE,96,51,0.53125
income_binary,adjusted_fdr,OTHER_CANCER,ARTHRITIS,96,51,0.53125
income_binary,adjusted_fdr,OTHER_CANCER,DIABETES,96,12,0.125
income_binary,adjusted_fdr,COPD,DEPRESSIVE_DISORDER,96,91,0.9479166666666666
income_binary,adjusted_fdr,COPD,KIDNEY_DISEASE,96,57,0.59375
income_binary,adjusted_fdr,COPD,ARTHRITIS,96,89,0.9270833333333334
income_binary,adjusted_fdr,COPD,DIABETES,96,41,0.4270833333333333
income_binary,adjusted_fdr,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,96,64,0.6666666666666666
income_binary,adjusted_fdr,DEPRESSIVE_DISORDER,ARTHRITIS,96,96,1.0
income_binary,adjusted_fdr,DEPRESSIVE_DISORDER,DIABETES,96,65,0.6770833333333334
income_binary,adjusted_fdr,KIDNEY_DISEASE,ARTHRITIS,96,85,0.8854166666666666
income_binary,adjusted_fdr,KIDNEY_DISEASE,DIABETES,96,91,0.9479166666666666
income_binary,adjusted_fdr,ARTHRITIS,DIABETES,96,74,0.7708333333333334
income_binary,phi_008,ISCHEMIC_HEART_DISEASE,STROKE,96,92,0.9583333333333334
income_binary,phi_008,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,96,16,0.16666666666666666
income_binary,phi_008,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,96,66,0.6875
income_binary,phi_008,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,96,83,0.8645833333333334
income_binary,phi_008,ISCHEMIC_HEART_DISEASE,COPD,96,92,0.9583333333333334
income_binary,phi_008,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,96,6,0.0625
income_binary,phi_008,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,96,93,0.96875
income_binary,phi_008,ISCHEMIC_HEART_DISEASE,ARTHRITIS,96,96,1.0
income_binary,phi_008,ISCHEMIC_HEART_DISEASE,DIABETES,96,96,1.0
income_binary,phi_008,STROKE,CURRENT_ASTHMA,96,13,0.13541666666666666
income_binary,phi_008,STROKE,SKIN_CANCER,96,18,0.1875
income_binary,phi_008,STROKE,OTHER_CANCER,96,38,0.3958333333333333
income_binary,phi_008,STROKE,COPD,96,57,0.59375
income_binary,phi_008,STROKE,DEPRESSIVE_DISORDER,96,9,0.09375
income_binary,phi_008,STROKE,KIDNEY_DISEASE,96,58,0.6041666666666666
income_binary,phi_008,STROKE,ARTHRITIS,96,82,0.8541666666666666
income_binary,phi_008,STROKE,DIABETES,96,82,0.8541666666666666
income_binary,phi_008,CURRENT_ASTHMA,SKIN_CANCER,96,2,0.020833333333333332
income_binary,phi_008,CURRENT_ASTHMA,OTHER_CANCER,96,3,0.03125
income_binary,phi_008,CURRENT_ASTHMA,COPD,96,96,1.0
income_binary,phi_008,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,96,88,0.9166666666666666
income_binary,phi_008,CURRENT_ASTHMA,KIDNEY_DISEASE,96,10,0.10416666666666667
income_binary,phi_008,CURRENT_ASTHMA,ARTHRITIS,96,77,0.8020833333333334
income_binary,phi_008,CURRENT_ASTHMA,DIABETES,96,16,0.16666666666666666
income_binary,phi_008,SKIN_CANCER,OTHER_CANCER,96,96,1.0
income_binary,phi_008,SKIN_CANCER,COPD,96,28,0.2916666666666667
income_binary,phi_008,SKIN_CANCER,DEPRESSIVE_DISORDER,96,1,0.010416666666666666
income_binary,phi_008,SKIN_CANCER,KIDNEY_DISEASE,96,31,0.3229166666666667
income_binary,phi_008,SKIN_CANCER,ARTHRITIS,96,91,0.9479166666666666
income_binary,phi_008,SKIN_CANCER,DIABETES,96,16,0.16666666666666666
income_binary,phi_008,OTHER_CANCER,COPD,96,64,0.6666666666666666
income_binary,phi_008,OTHER_CANCER,DEPRESSIVE_DISORDER,96,2,0.020833333333333332
income_binary,phi_008,OTHER_CANCER,KIDNEY_DISEASE,96,75,0.78125
income_binary,phi_008,OTHER_CANCER,ARTHRITIS,96,96,1.0
income_binary,phi_008,OTHER_CANCER,DIABETES,96,65,0.6770833333333334
income_binary,phi_008,COPD,DEPRESSIVE_DISORDER,96,69,0.71875
income_binary,phi_008,COPD,KIDNEY_DISEASE,96,50,0.5208333333333334
income_binary,phi_008,COPD,ARTHRITIS,96,96,1.0
income_binary,phi_008,COPD,DIABETES,96,65,0.6770833333333334
income_binary,phi_008,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,96,8,0.08333333333333333
income_binary,phi_008,DEPRESSIVE_DISORDER,ARTHRITIS,96,76,0.7916666666666666
income_binary,phi_008,DEPRESSIVE_DISORDER,DIABETES,96,4,0.041666666666666664
income_binary,phi_008,KIDNEY_DISEASE,ARTHRITIS,96,93,0.96875
income_binary,phi_008,KIDNEY_DISEASE,DIABETES,96,95,0.9895833333333334
income_binary,phi_008,ARTHRITIS,DIABETES,96,95,0.9895833333333334
income_binary,phi_012,ISCHEMIC_HEART_DISEASE,STROKE,96,86,0.8958333333333334
income_binary,phi_012,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,96,3,0.03125
income_binary,phi_012,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,96,21,0.21875
income_binary,phi_012,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,96,42,0.4375
income_binary,phi_012,ISCHEMIC_HEART_DISEASE,COPD,96,81,0.84375
income_binary,phi_012,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,96,1,0.010416666666666666
income_binary,phi_012,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,96,72,0.75
income_binary,phi_012,ISCHEMIC_HEART_DISEASE,ARTHRITIS,96,93,0.96875
income_binary,phi_012,ISCHEMIC_HEART_DISEASE,DIABETES,96,93,0.96875
income_binary,phi_012,STROKE,CURRENT_ASTHMA,96,3,0.03125
income_binary,phi_012,STROKE,SKIN_CANCER,96,4,0.041666666666666664
income_binary,phi_012,STROKE,OTHER_CANCER,96,9,0.09375
income_binary,phi_012,STROKE,COPD,96,34,0.3541666666666667
income_binary,phi_012,STROKE,DEPRESSIVE_DISORDER,96,1,0.010416666666666666
income_binary,phi_012,STROKE,KIDNEY_DISEASE,96,24,0.25
income_binary,phi_012,STROKE,ARTHRITIS,96,36,0.375
income_binary,phi_012,STROKE,DIABETES,96,34,0.3541666666666667
income_binary,phi_012,CURRENT_ASTHMA,SKIN_CANCER,96,1,0.010416666666666666
income_binary,phi_012,CURRENT_ASTHMA,OTHER_CANCER,96,0,0.0
income_binary,phi_012,CURRENT_ASTHMA,COPD,96,88,0.9166666666666666
income_binary,phi_012,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,96,63,0.65625
income_binary,phi_012,CURRENT_ASTHMA,KIDNEY_DISEASE,96,1,0.010416666666666666
income_binary,phi_012,CURRENT_ASTHMA,ARTHRITIS,96,41,0.4270833333333333
income_binary,phi_012,CURRENT_ASTHMA,DIABETES,96,3,0.03125
income_binary,phi_012,SKIN_CANCER,OTHER_CANCER,96,96,1.0
income_binary,phi_012,SKIN_CANCER,COPD,96,7,0.07291666666666667
income_binary,phi_012,SKIN_CANCER,DEPRESSIVE_DISORDER,96,1,0.010416666666666666
income_binary,phi_012,SKIN_CANCER,KIDNEY_DISEASE,96,8,0.08333333333333333
income_binary,phi_012,SKIN_CANCER,ARTHRITIS,96,70,0.7291666666666666
income_binary,phi_012,SKIN_CANCER,DIABETES,96,0,0.0
income_binary,phi_012,OTHER_CANCER,COPD,96,31,0.3229166666666667
income_binary,phi_012,OTHER_CANCER,DEPRESSIVE_DISORDER,96,0,0.0
income_binary,phi_012,OTHER_CANCER,KIDNEY_DISEASE,96,31,0.3229166666666667
income_binary,phi_012,OTHER_CANCER,ARTHRITIS,96,89,0.9270833333333334
income_binary,phi_012,OTHER_CANCER,DIABETES,96,12,0.125
income_binary,phi_012,COPD,DEPRESSIVE_DISORDER,96,38,0.3958333333333333
income_binary,phi_012,COPD,KIDNEY_DISEASE,96,21,0.21875
income_binary,phi_012,COPD,ARTHRITIS,96,87,0.90625
income_binary,phi_012,COPD,DIABETES,96,27,0.28125
income_binary,phi_012,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,96,0,0.0
