graph_id,geography_code,geography,ses_category,edge_count,density,mean_same_ses_jaccard,median_same_ses_jaccard,mean_same_ses_density_adjusted_z,robust_similarity_z,robust_density_adjusted_similarity_z,n_unweighted,weighted_population_estimate,kish_effective_n,n_strata,n_psu,ses_definition,rule_id
2024_55_education_binary_higher,55,Wisconsin,higher,37,0.8222222222222222,0.7690018967716128,0.7894736842105263,3.5478001477375787,0.34145440572251046,-0.36432115093935835,8816,2919706.02442142,4146.356817016462,43,8816,education_binary,adjusted_fdr
2024_23_education_binary_higher,23,Maine,higher,38,0.8444444444444444,0.7708092806246793,0.7777439024390245,3.50968216504039,0.3840158446861329,-0.43378310747463683,8423,725592.1666201503,4636.618769279256,64,8423,education_binary,adjusted_fdr
2024_53_education_binary_higher,53,Washington,higher,40,0.8888888888888888,0.7713673433318184,0.8,3.387913876375009,0.39715746471746993,-0.6556800436751391,19038,4205144.745568908,11778.233327379865,99,19038,education_binary,adjusted_fdr
2024_08_education_binary_higher,8,Colorado,higher,36,0.8,0.7739132395869015,0.8,3.774758103687053,0.45710986934064124,0.04926169253731761,8211,3308692.8095656955,6048.286811060391,55,8211,education_binary,adjusted_fdr
2024_39_education_binary_higher,39,Ohio,higher,34,0.7555555555555555,0.7769833665041633,0.7921727395411606,4.1431661023097375,0.5294071952119053,0.7206073036329752,6350,5343166.726885438,3083.7716975344806,57,6350,education_binary,adjusted_fdr
2024_29_education_binary_higher,29,Missouri,higher,31,0.6888888888888889,0.7788338824350431,0.7944947209653092,4.637397817677649,0.5729843361218013,1.621240010352105,4630,2921910.05116975,2499.145587114158,47,4630,education_binary,adjusted_fdr
2024_26_education_binary_higher,26,Michigan,higher,36,0.8,0.781012738624225,0.802439024390244,3.9466553498284234,0.6242934448919357,0.3625080449180423,7896,4922420.4617929775,3983.5438094240053,58,7896,education_binary,adjusted_fdr
2024_05_education_binary_higher,5,Arkansas,higher,36,0.8,0.7831443392830623,0.8081831831831832,3.9860946860094053,0.67448975,0.43437788853874504,3210,1273916.8807018145,1995.8277397641612,16,3210,education_binary,adjusted_fdr
2024_36_education_binary_higher,36,New York,higher,39,0.8666666666666667,0.7832986649264487,0.8205128205128205,3.7639338768765183,0.6781239096392877,0.02953682991239142,29310,9621094.602646858,11160.789816107823,248,29310,education_binary,adjusted_fdr
2024_27_education_binary_higher,27,Minnesota,higher,37,0.8222222222222222,0.7839853271984767,0.8048780487804879,3.915403949498192,0.6942938750453381,0.3055589815678137,11320,3049769.3374483963,7480.149853497428,21,11320,education_binary,adjusted_fdr
