graph_id,condition,n_valid,n_cases,unweighted_prevalence,weighted_prevalence,weighted_population_denominator,kish_effective_n,ses_definition,ses_category
2023_33_education_binary_lower,ISCHEMIC_HEART_DISEASE,1806,226,0.12513842746400886,0.07161474259159116,394798.3769362429,786.6715796634628,education_binary,lower
2023_33_education_binary_lower,STROKE,1819,119,0.06542056074766354,0.03558589414041422,398190.1393174942,790.6234624696434,education_binary,lower
2023_33_education_binary_lower,CURRENT_ASTHMA,1806,178,0.09856035437430787,0.12816744585706727,393943.4802716223,781.3597549317049,education_binary,lower
2023_33_education_binary_lower,SKIN_CANCER,1804,155,0.08592017738359202,0.044819460350457814,395992.3368197401,784.9004257772079,education_binary,lower
2023_33_education_binary_lower,OTHER_CANCER,1812,281,0.15507726269315672,0.09184886908328695,395677.9828720453,785.5441525440334,education_binary,lower
2023_33_education_binary_lower,COPD,1822,239,0.13117453347969266,0.10254163419123757,398292.2573416562,791.0008026251227,education_binary,lower
2023_33_education_binary_lower,DEPRESSIVE_DISORDER,1812,387,0.21357615894039736,0.23933622768790416,394711.97790373326,788.0076698733453,education_binary,lower
2023_33_education_binary_lower,KIDNEY_DISEASE,1824,103,0.05646929824561404,0.03237930439396229,398151.0275204732,791.2688688282229,education_binary,lower
2023_33_education_binary_lower,ARTHRITIS,1821,831,0.45634266886326197,0.32158003923967243,396295.31927411,794.4650443571721,education_binary,lower
2023_33_education_binary_lower,DIABETES,1827,346,0.1893814997263273,0.1437215365632453,398864.0891216858,792.8433761460683,education_binary,lower
2023_33_education_binary_higher,ISCHEMIC_HEART_DISEASE,5049,410,0.08120419885125768,0.04802226500922081,748546.8661784092,2182.772895035979,education_binary,higher
2023_33_education_binary_higher,STROKE,5079,193,0.03799960622169719,0.023103487094294054,751061.0691234317,2197.8646753316607,education_binary,higher
2023_33_education_binary_higher,CURRENT_ASTHMA,5054,520,0.10288880094974277,0.11215576131336509,746762.223422897,2193.652072504358,education_binary,higher
2023_33_education_binary_higher,SKIN_CANCER,5062,674,0.13314895298301066,0.07605848989816885,749569.7821275793,2187.042923926001,education_binary,higher
2023_33_education_binary_higher,OTHER_CANCER,5052,899,0.17794932699920823,0.10828909481903361,749389.4015569247,2184.459261929867,education_binary,higher
2023_33_education_binary_higher,COPD,5072,335,0.06604889589905363,0.05574704940379796,749533.6847708763,2192.529951788751,education_binary,higher
2023_33_education_binary_higher,DEPRESSIVE_DISORDER,5074,929,0.1830902640914466,0.21047889019149102,750205.0068583223,2192.4251146955767,education_binary,higher
2023_33_education_binary_higher,KIDNEY_DISEASE,5082,221,0.04348681621408894,0.027134152218603956,751489.1353760632,2198.7884660871323,education_binary,higher
