graph_id,source_condition,target_condition,association,standard_error,p_value,n_complete,source_cases,target_cases,cooccurring_cases,weighted_n,kish_effective_n,weighted_source_prevalence,weighted_target_prevalence,weighted_joint_prevalence,estimator,inference_scope,pair_eligible,exclusion_reason,q_value,edge_present
2024_36_lower,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,0.1488791696458207,,,13946,1387,734,225,5593881.624892603,5528.4119956752975,0.07679515549606708,0.04306299520944759,0.011354208725346327,weighted_phi,descriptive,True,,,True
2024_36_lower,ISCHEMIC_HEART_DISEASE,ARTHRITIS,0.21155245392693733,,,13925,1393,4624,871,5590114.455102451,5509.126259404981,0.07744404613749305,0.24984423193476724,0.043829366451865276,weighted_phi,descriptive,True,,,True
2024_36_lower,ISCHEMIC_HEART_DISEASE,DIABETES,0.1941868029702932,,,13975,1402,2340,518,5604271.3655039,5529.675223628002,0.07778408030600384,0.1538441828271187,0.030731564448430896,weighted_phi,descriptive,True,,,True
2024_36_lower,STROKE,CURRENT_ASTHMA,0.06125125236014972,,,14098,647,1765,143,5670084.3404743355,5594.185230220993,0.035290078782061446,0.10597430113905688,0.007218525128219283,weighted_phi,descriptive,True,,,False
2024_36_lower,STROKE,SKIN_CANCER,0.018248913250497694,,,14130,648,562,42,5700778.530337747,5609.35626494254,0.03522789022117219,0.02514321924724593,0.0014124549683891257,weighted_phi,descriptive,True,,,False
2024_36_lower,STROKE,OTHER_CANCER,0.06453513271691853,,,14147,646,1202,110,5689818.082024038,5618.815297933578,0.035218753330982434,0.05777599526518988,0.004810344487369225,weighted_phi,descriptive,True,,,False
2024_36_lower,STROKE,COPD,0.13691339278849154,,,14150,650,1575,185,5690782.477132547,5618.247034862053,0.03515811701703391,0.0687988460348102,0.008801460098625091,weighted_phi,descriptive,True,,,True
2024_36_lower,STROKE,DEPRESSIVE_DISORDER,0.04458981647906833,,,14154,648,2602,184,5684108.730144765,5626.805362380898,0.03512281002852119,0.1532973898632983,0.008341560829977291,weighted_phi,descriptive,True,,,False
2024_36_lower,STROKE,KIDNEY_DISEASE,0.07997692454446395,,,14157,651,750,106,5688732.965764936,5620.867786273722,0.035274340998961116,0.04315369460782467,0.004520180340949293,weighted_phi,descriptive,True,,,False
2024_36_lower,STROKE,ARTHRITIS,0.11323268434736292,,,14128,650,4700,370,5679813.8818791965,5606.161201189415,0.035349889637544596,0.24906244181699314,0.017847210027952393,weighted_phi,descriptive,True,,,True
2024_36_lower,STROKE,DIABETES,0.09055358844153712,,,14184,652,2387,210,5700311.557144546,5622.717675339578,0.03512258665615552,0.15465684955665948,0.011459432794122721,weighted_phi,descriptive,True,,,True
2024_36_lower,CURRENT_ASTHMA,SKIN_CANCER,-0.0025395891449052806,,,14049,1751,560,67,5665956.886488925,5581.8563847004325,0.10558873608561947,0.025267153510198374,0.0025454477427341964,weighted_phi,descriptive,True,,,False
2024_36_lower,CURRENT_ASTHMA,OTHER_CANCER,0.0293548789114086,,,14072,1761,1198,175,5658107.906279228,5594.584703411952,0.10556918058518283,0.05796567349532999,0.008227245211549222,weighted_phi,descriptive,True,,,False
2024_36_lower,CURRENT_ASTHMA,COPD,0.25654677760716066,,,14073,1757,1560,598,5656456.160283582,5591.721456019757,0.1054836014510015,0.0687944688849506,0.027202546500956742,weighted_phi,descriptive,True,,,True
2024_36_lower,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,0.18540051870624352,,,14074,1761,2568,678,5649432.983420476,5600.083359520419,0.10533664060933086,0.15248805722219025,0.0365233194337286,weighted_phi,descriptive,True,,,True
2024_36_lower,CURRENT_ASTHMA,KIDNEY_DISEASE,0.04514266419639034,,,14077,1762,748,148,5655148.827606083,5592.436862765576,0.10597574873187167,0.04332903531070156,0.007420846123470664,weighted_phi,descriptive,True,,,False
2024_36_lower,CURRENT_ASTHMA,ARTHRITIS,0.139533045273509,,,14053,1766,4681,934,5649152.63101025,5581.290619844287,0.10639051377831434,0.24922624533907758,0.045125628234883385,weighted_phi,descriptive,True,,,True
2024_36_lower,CURRENT_ASTHMA,DIABETES,0.10814849845930004,,,14107,1767,2376,483,5668909.987139921,5596.8877416849655,0.1060380290840127,0.15493404779324707,0.0284773065615115,weighted_phi,descriptive,True,,,True
2024_36_lower,SKIN_CANCER,OTHER_CANCER,0.24374643667177873,,,14119,547,1187,245,5691575.651155568,5614.67236688144,0.024221792125188685,0.05717717734676422,0.01008541681837877,weighted_phi,descriptive,True,,,True
2024_36_lower,SKIN_CANCER,COPD,0.0784816774578151,,,14105,562,1555,109,5687403.0122587755,5607.171495655815,0.025204259364913727,0.0679200482281148,0.004807066800174018,weighted_phi,descriptive,True,,,False
2024_36_lower,SKIN_CANCER,DEPRESSIVE_DISORDER,0.014181454063316355,,,14101,560,2585,88,5678959.34776168,5613.054892778468,0.025225916695702316,0.15324885024582904,0.004666916917667256,weighted_phi,descriptive,True,,,False
2024_36_lower,SKIN_CANCER,KIDNEY_DISEASE,0.0631047174893795,,,14108,561,744,56,5683805.081261425,5607.750430884162,0.025180066340371135,0.04291000036594192,0.0030840632204273077,weighted_phi,descriptive,True,,,False
2024_36_lower,SKIN_CANCER,ARTHRITIS,0.13114299498621523,,,14082,557,4670,341,5676639.048528334,5595.420649895398,0.025128813196411474,0.2478339822316539,0.015089982799615185,weighted_phi,descriptive,True,,,True
2024_36_lower,SKIN_CANCER,DIABETES,0.061256328379587,,,14133,561,2369,146,5696041.621625718,5610.1535470899025,0.025056471185048293,0.15419533474820007,0.007321163511634669,weighted_phi,descriptive,True,,,False
2024_36_lower,OTHER_CANCER,COPD,0.09197062572617871,,,14127,1201,1564,285,5678053.725164673,5619.085916818812,0.057648961675535515,0.06810632265075425,0.009326686296252943,weighted_phi,descriptive,True,,,True
2024_36_lower,OTHER_CANCER,DEPRESSIVE_DISORDER,0.0323252065099484,,,14126,1203,2594,242,5672267.784874387,5626.3130457561865,0.058034410100933444,0.15337073311229998,0.011624230608474739,weighted_phi,descriptive,True,,,False
2024_36_lower,OTHER_CANCER,KIDNEY_DISEASE,0.07685616475183293,,,14127,1199,744,156,5674178.610589925,5618.168634766105,0.057731660820779976,0.04269712340572268,0.0060890495721393125,weighted_phi,descriptive,True,,,False
2024_36_lower,OTHER_CANCER,ARTHRITIS,0.1782472938452049,,,14103,1200,4685,694,5670027.92335024,5598.259336171711,0.057842800544176155,0.24842710591281272,0.032349911780725514,weighted_phi,descriptive,True,,,True
2024_36_lower,OTHER_CANCER,DIABETES,0.07609996752708689,,,14155,1201,2373,322,5686541.316794049,5621.793737341087,0.057557042447087745,0.1536704139257111,0.015236658069701037,weighted_phi,descriptive,True,,,False
2024_36_lower,COPD,DEPRESSIVE_DISORDER,0.15089928006962186,,,14131,1570,2591,542,5672924.716515308,5624.012724749161,0.068176741270577,0.1523355410203366,0.02405310181557057,weighted_phi,descriptive,True,,,True
2024_36_lower,COPD,KIDNEY_DISEASE,0.11647496310983331,,,14131,1572,745,196,5675626.933519655,5618.5576033096595,0.06858842324434411,0.04285292544760751,0.008901439883053254,weighted_phi,descriptive,True,,,True
2024_36_lower,COPD,ARTHRITIS,0.23349407310819806,,,14107,1572,4696,1015,5667571.016448614,5605.711177669081,0.06874265362127562,0.2493003887505852,0.04269507423440248,weighted_phi,descriptive,True,,,True
2024_36_lower,COPD,DIABETES,0.0991999263261477,,,14158,1576,2379,459,5687383.71409693,5620.484751570857,0.06868585964201844,0.15434975256116382,0.019666095823407302,weighted_phi,descriptive,True,,,True
2024_36_lower,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,0.07883480543892919,,,14134,2590,752,206,5671178.185316218,5609.254507811408,0.15272240122053293,0.043293857690576115,0.012383388187793224,weighted_phi,descriptive,True,,,False
2024_36_lower,DEPRESSIVE_DISORDER,ARTHRITIS,0.14904154676522363,,,14106,2593,4691,1270,5659767.904242652,5611.529433906656,0.15343128721180913,0.24871711417028108,0.06138033404895562,weighted_phi,descriptive,True,,,True
2024_36_lower,DEPRESSIVE_DISORDER,DIABETES,0.0653103482002449,,,14160,2596,2380,558,5679328.375367229,5628.180465125709,0.1528579571717228,0.15434911631783332,0.032084352367973995,weighted_phi,descriptive,True,,,False
2024_36_lower,KIDNEY_DISEASE,ARTHRITIS,0.13650278129182963,,,14110,749,4681,459,5666134.320325015,5605.887676894145,0.04288735308946788,0.24812913072532802,0.022586931747900395,weighted_phi,descriptive,True,,,True
