null_replicate,graph_index,target_swaps,accepted_swaps,changed
11,34,100,100,True
11,35,130,130,True
11,36,120,120,True
11,37,170,170,True
11,38,80,80,True
11,39,120,120,True
11,40,80,80,True
11,41,100,100,True
11,42,130,130,True
11,43,170,170,True
11,44,90,90,True
11,45,110,110,True
11,46,130,130,True
11,47,110,110,True
11,48,40,40,True
11,49,130,130,True
11,50,110,110,True
11,51,150,150,True
11,52,80,80,True
11,53,70,70,True
11,54,70,70,True
11,55,90,90,True
11,56,20,20,True
11,57,90,90,True
11,58,130,130,True
11,59,150,150,True
11,60,90,90,True
11,61,110,110,True
11,62,100,100,True
11,63,150,150,True
11,64,100,100,True
11,65,160,160,True
11,66,130,130,True
11,67,140,140,True
11,68,110,110,True
11,69,130,130,True
11,70,130,130,True
11,71,80,80,True
11,72,100,100,True
11,73,90,90,True
11,74,140,140,True
11,75,190,190,True
11,76,50,50,True
11,77,60,60,True
11,78,130,130,True
11,79,130,130,True
11,80,110,110,True
11,81,110,110,True
11,82,100,100,True
11,83,120,120,True
11,84,140,140,True
11,85,120,120,True
11,86,110,110,True
11,87,120,120,True
11,88,130,130,True
11,89,140,140,True
11,90,120,120,True
11,91,110,110,True
11,92,80,80,True
11,93,160,160,True
12,0,110,110,True
12,1,130,130,True
12,2,70,70,True
12,3,70,70,True
12,4,90,90,True
12,5,90,90,True
12,6,170,170,True
12,7,150,150,True
12,8,150,150,True
12,9,70,70,True
12,10,120,120,True
12,11,100,100,True
12,12,70,70,False
12,13,80,80,True
12,14,100,100,True
12,15,100,100,True
12,16,100,100,True
12,17,120,120,True
12,18,130,130,True
12,19,170,170,True
12,20,50,50,True
12,21,70,70,True
12,22,120,120,True
12,23,80,80,True
12,24,120,120,True
12,25,100,100,True
12,26,130,130,True
12,27,140,140,True
12,28,100,100,True
12,29,120,120,True
12,30,120,120,True
12,31,130,130,True
12,32,130,130,True
12,33,210,210,True
12,34,100,100,True
12,35,130,130,True
12,36,120,120,True
12,37,170,170,True
12,38,80,80,True
12,39,120,120,True
12,40,80,80,True
12,41,100,100,True
12,42,130,130,True
12,43,170,170,True
12,44,90,90,True
12,45,110,110,True
12,46,130,130,True
12,47,110,110,True
12,48,40,40,True
12,49,130,130,True
12,50,110,110,True
12,51,150,150,True
12,52,80,80,True
12,53,70,70,True
12,54,70,70,True
12,55,90,90,True
12,56,20,20,True
12,57,90,90,True
12,58,130,130,True
12,59,150,150,True
12,60,90,90,True
12,61,110,110,True
12,62,100,100,True
12,63,150,150,True
12,64,100,100,True
12,65,160,160,True
12,66,130,130,True
12,67,140,140,True
12,68,110,110,True
12,69,130,130,True
12,70,130,130,True
12,71,80,80,True
12,72,100,100,True
12,73,90,90,True
12,74,140,140,True
12,75,190,190,True
12,76,50,50,True
12,77,60,60,True
12,78,130,130,True
12,79,130,130,True
12,80,110,110,True
12,81,110,110,True
12,82,100,100,True
12,83,120,120,True
12,84,140,140,True
12,85,120,120,True
12,86,110,110,True
12,87,120,120,True
12,88,130,130,True
12,89,140,140,True
12,90,120,120,True
12,91,110,110,True
12,92,80,80,True
12,93,160,160,True
13,0,110,110,True
13,1,130,130,True
13,2,70,70,True
13,3,70,70,True
13,4,90,90,True
13,5,90,90,True
13,6,170,170,True
13,7,150,150,True
13,8,150,150,True
13,9,70,70,True
13,10,120,120,True
13,11,100,100,True
13,12,70,70,True
13,13,80,80,True
13,14,100,100,True
13,15,100,100,True
13,16,100,100,True
13,17,120,120,True
13,18,130,130,True
13,19,170,170,True
13,20,50,50,True
13,21,70,70,True
13,22,120,120,True
13,23,80,80,True
13,24,120,120,True
13,25,100,100,True
13,26,130,130,True
13,27,140,140,True
13,28,100,100,True
13,29,120,120,True
13,30,120,120,True
13,31,130,130,True
13,32,130,130,True
13,33,210,210,True
13,34,100,100,True
13,35,130,130,True
13,36,120,120,True
13,37,170,170,True
13,38,80,80,True
13,39,120,120,True
13,40,80,80,False
13,41,100,100,True
13,42,130,130,True
13,43,170,170,True
13,44,90,90,True
13,45,110,110,True
13,46,130,130,True
13,47,110,110,True
13,48,40,40,True
13,49,130,130,True
13,50,110,110,True
13,51,150,150,True
13,52,80,80,True
13,53,70,70,True
13,54,70,70,True
13,55,90,90,True
13,56,20,20,False
13,57,90,90,True
13,58,130,130,True
13,59,150,150,True
13,60,90,90,True
13,61,110,110,True
13,62,100,100,True
13,63,150,150,True
13,64,100,100,True
13,65,160,160,True
13,66,130,130,True
13,67,140,140,True
13,68,110,110,True
13,69,130,130,True
13,70,130,130,True
13,71,80,80,True
13,72,100,100,True
13,73,90,90,True
13,74,140,140,True
13,75,190,190,True
13,76,50,50,True
13,77,60,60,True
13,78,130,130,True
13,79,130,130,True
13,80,110,110,True
13,81,110,110,True
13,82,100,100,True
13,83,120,120,True
13,84,140,140,True
13,85,120,120,True
13,86,110,110,True
13,87,120,120,True
13,88,130,130,True
13,89,140,140,True
13,90,120,120,True
13,91,110,110,True
13,92,80,80,True
13,93,160,160,True
14,0,110,110,True
14,1,130,130,True
14,2,70,70,True
14,3,70,70,True
14,4,90,90,True
14,5,90,90,True
14,6,170,170,True
14,7,150,150,True
14,8,150,150,True
14,9,70,70,True
14,10,120,120,True
14,11,100,100,True
14,12,70,70,True
14,13,80,80,True
14,14,100,100,True
14,15,100,100,True
14,16,100,100,True
14,17,120,120,True
14,18,130,130,True
14,19,170,170,True
14,20,50,50,True
14,21,70,70,True
14,22,120,120,True
14,23,80,80,True
14,24,120,120,False
14,25,100,100,True
14,26,130,130,True
14,27,140,140,True
14,28,100,100,True
14,29,120,120,True
14,30,120,120,True
14,31,130,130,True
14,32,130,130,True
14,33,210,210,True
14,34,100,100,True
14,35,130,130,True
14,36,120,120,True
14,37,170,170,True
14,38,80,80,True
14,39,120,120,True
14,40,80,80,True
14,41,100,100,True
14,42,130,130,True
14,43,170,170,True
14,44,90,90,True
14,45,110,110,True
14,46,130,130,True
14,47,110,110,True
14,48,40,40,True
14,49,130,130,True
14,50,110,110,True
14,51,150,150,True
14,52,80,80,True
14,53,70,70,True
14,54,70,70,True
14,55,90,90,True
14,56,20,20,True
14,57,90,90,True
14,58,130,130,True
14,59,150,150,True
14,60,90,90,True
14,61,110,110,True
14,62,100,100,True
14,63,150,150,True
14,64,100,100,True
14,65,160,160,True
14,66,130,130,True
14,67,140,140,True
14,68,110,110,True
14,69,130,130,True
14,70,130,130,True
14,71,80,80,True
14,72,100,100,True
14,73,90,90,True
14,74,140,140,True
14,75,190,190,True
14,76,50,50,True
14,77,60,60,True
14,78,130,130,True
14,79,130,130,True
14,80,110,110,True
14,81,110,110,True
14,82,100,100,True
14,83,120,120,True
14,84,140,140,True
14,85,120,120,True
14,86,110,110,True
14,87,120,120,True
14,88,130,130,True
14,89,140,140,True
14,90,120,120,True
14,91,110,110,True
14,92,80,80,True
14,93,160,160,True
15,0,110,110,True
15,1,130,130,True
15,2,70,70,True
15,3,70,70,True
15,4,90,90,True
15,5,90,90,True
15,6,170,170,True
15,7,150,150,True
15,8,150,150,True
15,9,70,70,True
15,10,120,120,True
15,11,100,100,True
15,12,70,70,True
15,13,80,80,True
15,14,100,100,True
15,15,100,100,True
15,16,100,100,True
15,17,120,120,True
15,18,130,130,True
15,19,170,170,True
15,20,50,50,True
15,21,70,70,True
15,22,120,120,True
15,23,80,80,True
15,24,120,120,True
15,25,100,100,True
15,26,130,130,True
15,27,140,140,True
15,28,100,100,True
15,29,120,120,True
15,30,120,120,True
15,31,130,130,True
15,32,130,130,True
15,33,210,210,True
15,34,100,100,True
15,35,130,130,True
15,36,120,120,True
15,37,170,170,True
15,38,80,80,True
15,39,120,120,True
15,40,80,80,True
15,41,100,100,True
15,42,130,130,True
15,43,170,170,True
15,44,90,90,True
15,45,110,110,True
15,46,130,130,True
15,47,110,110,True
15,48,40,40,True
15,49,130,130,True
15,50,110,110,True
15,51,150,150,True
15,52,80,80,True
15,53,70,70,True
15,54,70,70,True
15,55,90,90,True
15,56,20,20,True
15,57,90,90,True
15,58,130,130,True
15,59,150,150,True
15,60,90,90,True
15,61,110,110,True
15,62,100,100,True
15,63,150,150,True
15,64,100,100,True
15,65,160,160,True
15,66,130,130,True
15,67,140,140,True
15,68,110,110,True
