bootstrap_replicate,support_fraction,baseline_motif_count,replicate_discovered_motif_count,retained_baseline_motif_count,novel_motif_count,discovery_set_retention,discovery_set_jaccard
305,0.1,1098,1073,1073,0,0.9772313296903461,0.9772313296903461
305,0.2,542,516,516,0,0.9520295202952029,0.9520295202952029
305,0.3,342,334,334,0,0.9766081871345029,0.9766081871345029
306,0.1,1098,1013,1013,0,0.9225865209471766,0.9225865209471766
306,0.2,542,520,520,0,0.959409594095941,0.959409594095941
306,0.3,342,305,305,0,0.8918128654970761,0.8918128654970761
307,0.1,1098,988,988,0,0.8998178506375227,0.8998178506375227
307,0.2,542,489,489,0,0.9022140221402214,0.9022140221402214
307,0.3,342,320,320,0,0.935672514619883,0.935672514619883
308,0.1,1098,936,936,0,0.8524590163934426,0.8524590163934426
308,0.2,542,528,528,0,0.974169741697417,0.974169741697417
308,0.3,342,334,334,0,0.9766081871345029,0.9766081871345029
309,0.1,1098,1017,1017,0,0.9262295081967213,0.9262295081967213
309,0.2,542,504,504,0,0.9298892988929889,0.9298892988929889
309,0.3,342,317,317,0,0.9269005847953217,0.9269005847953217
310,0.1,1098,1034,1034,0,0.941712204007286,0.941712204007286
310,0.2,542,496,496,0,0.915129151291513,0.915129151291513
310,0.3,342,307,307,0,0.8976608187134503,0.8976608187134503
311,0.1,1098,1035,1035,0,0.9426229508196722,0.9426229508196722
311,0.2,542,533,533,0,0.9833948339483395,0.9833948339483395
311,0.3,342,325,325,0,0.9502923976608187,0.9502923976608187
312,0.1,1098,979,979,0,0.8916211293260473,0.8916211293260473
312,0.2,542,527,527,0,0.9723247232472325,0.9723247232472325
312,0.3,342,319,319,0,0.9327485380116959,0.9327485380116959
313,0.1,1098,973,973,0,0.8861566484517304,0.8861566484517304
313,0.2,542,527,527,0,0.9723247232472325,0.9723247232472325
313,0.3,342,328,328,0,0.9590643274853801,0.9590643274853801
314,0.1,1098,1003,1003,0,0.9134790528233151,0.9134790528233151
314,0.2,542,535,535,0,0.9870848708487084,0.9870848708487084
314,0.3,342,328,328,0,0.9590643274853801,0.9590643274853801
315,0.1,1098,1017,1017,0,0.9262295081967213,0.9262295081967213
315,0.2,542,526,526,0,0.9704797047970479,0.9704797047970479
315,0.3,342,319,319,0,0.9327485380116959,0.9327485380116959
316,0.1,1098,1090,1090,0,0.9927140255009107,0.9927140255009107
316,0.2,542,524,524,0,0.966789667896679,0.966789667896679
316,0.3,342,320,320,0,0.935672514619883,0.935672514619883
317,0.1,1098,995,995,0,0.9061930783242259,0.9061930783242259
317,0.2,542,507,507,0,0.9354243542435424,0.9354243542435424
317,0.3,342,322,322,0,0.9415204678362573,0.9415204678362573
318,0.1,1098,1061,1061,0,0.9663023679417122,0.9663023679417122
318,0.2,542,522,522,0,0.9630996309963099,0.9630996309963099
318,0.3,342,316,316,0,0.9239766081871345,0.9239766081871345
319,0.1,1098,953,953,0,0.8679417122040073,0.8679417122040073
319,0.2,542,522,522,0,0.9630996309963099,0.9630996309963099
319,0.3,342,326,326,0,0.9532163742690059,0.9532163742690059
320,0.1,1098,955,955,0,0.8697632058287796,0.8697632058287796
320,0.2,542,523,523,0,0.9649446494464945,0.9649446494464945
320,0.3,342,315,315,0,0.9210526315789473,0.9210526315789473
321,0.1,1098,1060,1060,0,0.9653916211293261,0.9653916211293261
321,0.2,542,528,528,0,0.974169741697417,0.974169741697417
321,0.3,342,326,326,0,0.9532163742690059,0.9532163742690059
322,0.1,1098,1033,1033,0,0.9408014571948998,0.9408014571948998
322,0.2,542,501,501,0,0.9243542435424354,0.9243542435424354
322,0.3,342,297,297,0,0.868421052631579,0.868421052631579
323,0.1,1098,1013,1013,0,0.9225865209471766,0.9225865209471766
323,0.2,542,514,514,0,0.948339483394834,0.948339483394834
323,0.3,342,296,296,0,0.8654970760233918,0.8654970760233918
324,0.1,1098,1058,1058,0,0.9635701275045537,0.9635701275045537
324,0.2,542,490,490,0,0.9040590405904059,0.9040590405904059
324,0.3,342,296,296,0,0.8654970760233918,0.8654970760233918
325,0.1,1098,966,966,0,0.8797814207650273,0.8797814207650273
325,0.2,542,526,526,0,0.9704797047970479,0.9704797047970479
325,0.3,342,325,325,0,0.9502923976608187,0.9502923976608187
326,0.1,1098,1075,1075,0,0.9790528233151184,0.9790528233151184
326,0.2,542,487,487,0,0.8985239852398524,0.8985239852398524
326,0.3,342,312,312,0,0.9122807017543859,0.9122807017543859
327,0.1,1098,1049,1049,0,0.9553734061930783,0.9553734061930783
327,0.2,542,496,496,0,0.915129151291513,0.915129151291513
327,0.3,342,303,303,0,0.8859649122807017,0.8859649122807017
328,0.1,1098,995,995,0,0.9061930783242259,0.9061930783242259
328,0.2,542,511,511,0,0.9428044280442804,0.9428044280442804
328,0.3,342,316,316,0,0.9239766081871345,0.9239766081871345
329,0.1,1098,992,992,0,0.9034608378870674,0.9034608378870674
